type,user,content,time
31,論證,s10083,最近也說太陽能板的成本其實減低了，我本來還擔心因為很貴所以無法普及,2017-03-30 16:13:14
32,瀏覽網頁,s10083,向世界證明太陽能可取代核能,2017-3-30 16:12:22
33,瀏覽網頁,s10083,向世界證明太陽能可取代核能,2017-3-30 16:12:22
34,論證,s10083,企業如果不動的話，大家再怎麼吶喊其實也沒用XD,2017-03-30 16:12:15
35,論證,s10084,成本真的也是一個問題呀...,2017-03-30 16:11:54
36,論證,s10084,嗯嗯 對呀還要企業肯一起投入改變~,2017-03-30 16:11:24
37,論證,s10083,是啊，新的發電方式只要能減低成本，我相信企業也會願意轉型的,2017-03-30 16:10:13
38,論證,s10084,對呀 其實台灣還蠻適合地底能源發電的~,2017-03-30 16:09:31
39,論證,s10083,嗯嗯 輻射問題很可怕呢,2017-03-30 16:09:01
40,論證,s10084,以後的科技說不定又會有新的突破，發展新的發電方式也說不定呵呵,2017-03-30 16:08:49
41,論證,s10083,現在還有地熱發電，也許對台灣這個多火山地形也是不錯的選擇,2017-03-30 16:08:42
42,瀏覽網頁,s10083,裝太陽能板發電 豬農年收千萬 台灣溫泉鄉 無「核能」發展「地熱」？全台唯一,2017-3-30 16:8:19
43,論證,s10084,我也很怕輻射問題XD,2017-03-30 16:07:46
44,論證,s10083,是啊，在不同地區發展不同的供電方式是不錯的~,2017-03-30 16:07:30
45,論證,s10084,嗯嗯 同意,2017-03-30 16:07:20
46,論證,s10083,我也是不反對以核能維持現狀，不過需要逐步改變供電的方案，畢竟大眾因為日本事件其實已經對核能產生更多疑慮XD,2017-03-30 16:06:32
47,瀏覽網頁,s10083,歐盟報告稱 太陽能發電成本可媲美核能,2017-3-30 16:5:57
48,論證,s10084,嗯嗯 像是一區域的氣候條件配適當的發電方法,2017-03-30 16:05:49
49,論證,s10084,所以我是不反對之後由太陽能來發電，也可以加入其他發電方式,2017-03-30 16:04:48
50,搜索關鍵字,s10083,核能OROR,2017-03-30 16:04:17
51,論證,s10083,恩...是否只有核能能提供如此大量的電呢?,2017-03-30 16:04:08
52,論證,s10083,只是也需要儲電的設施來解決萬一日照不足的問題,2017-03-30 16:03:41
53,論證,s10084,但就目前的情況來說電的供需問題先解決比較重要~,2017-03-30 16:03:28
54,論證,s10084,太陽能我也覺得可以,2017-03-30 16:02:48
55,搜索關鍵字,s10083,供電OROR,2017-03-30 16:02:32
56,論證,s10084,嗯嗯 我也覺得健康很重要，但無法想像沒有電的生活...,2017-03-30 16:02:31
57,搜索關鍵字,s10083,供電量OROR,2017-03-30 16:02:26
58,論證,s10083,"如果在技術上能提高像是太陽能的發電量，我倒希望能慢慢取代""",2017-03-30 16:01:34
59,筆記,s10084,是怕風力、或是火力發電不穩,2017-3-30 16:0:23
60,論證,s10083,是的，但不能忽視的是對於健康的危害,2017-03-30 16:00:22
61,論證,s10084,而且台灣對電的需求量真的蠻大的,2017-03-30 15:59:59
62,論證,s10084,只是說它供電量較穩,2017-03-30 15:59:41
63,論證,s10084,對呀,2017-03-30 15:59:25
64,論證,s10084,哈哈哈,2017-03-30 15:59:21
65,論證,s10083,覺得台灣沒有那麼大的地方做隔離..,2017-03-30 15:59:12
66,論證,s10083,不過核能發電廠就像是不定時的危險，雖然時常做檢修，在發生事故時波及的範圍依然蠻大的,2017-03-30 15:58:48
67,論證,s10084,有點對那區作隔離的感覺啦,2017-03-30 15:58:15
68,論證,s10084,我是在想如果政府有完善規劃像是附近不能居住,2017-03-30 15:57:28
69,論證,s10083,XD,2017-03-30 15:56:48
70,論證,s10083,我不太贊成台灣以核能來發電，因為對於核廢料導致許多健康的問題　,2017-03-30 15:56:38
71,論證,s10084,打錯,2017-03-30 15:56:35
72,論證,s10084,你為什麼支持核能發電嗎?,2017-03-30 15:56:21
73,搜索關鍵字,s10084,核能OROR,2017-03-30 15:55:29
74,論證,s10083,你好！,2017-03-30 15:55:26
75,論證,s10084,你好!,2017-03-30 15:55:12
76,瀏覽網頁,s10083,台灣的另類世界之「最」- 最危險的核電廠,2017-3-30 14:50:52
77,瀏覽網頁,s10083,【台灣必須廢核的10個理由】台灣是唯一將核電廠建在首都圈的國家,2017-3-30 14:49:12
78,瀏覽網頁,s10083,核電廠退休員工控訴害罹癌　向台電求償遭拒,2017-3-30 14:48:17
79,搜索關鍵字,s10083,核電廠OR附近OR,2017-03-30 14:45:22
80,瀏覽網頁,s10083,生質能發電,2017-3-30 14:44:17
81,瀏覽網頁,s10083,火力發電,2017-3-30 14:43:46
82,瀏覽網頁,s10083,如果我們積極發展太陽能，是不是就不需要核四？,2017-3-30 14:43:10
83,瀏覽網頁,s10083,太陽能取代核電恐導致電價漲3倍？真的嗎？,2017-3-30 14:43:5
84,搜索關鍵字,s10083,生質能OROR,2017-03-30 14:42:39
85,搜索關鍵字,s10083,火力OROR,2017-03-30 14:42:10
86,瀏覽網頁,s10083,癮科學：替代能源 -- 核能,2017-3-30 14:41:29
87,搜索關鍵字,s10083,太陽能OROR,2017-03-30 14:41:20
88,瀏覽網頁,s10083,歐盟報告稱 太陽能發電成本可媲美核能,2017-3-30 14:40:45
89,瀏覽網頁,s10083,認識核能發電,2017-3-30 14:39:45
90,搜索關鍵字,s10083,核能OROR,2017-03-30 14:36:30
91,瀏覽網頁,s10084,裝太陽能板發電 豬農年收千萬 台灣溫泉鄉 無「核能」發展「地熱」？全台唯一,2017-3-30 13:59:38
92,瀏覽網頁,s10084,裝太陽能板發電 豬農年收千萬 台灣溫泉鄉 無「核能」發展「地熱」？全台唯一,2017-3-30 13:59:35
93,搜索關鍵字,s10084,核能OR優缺OR,2017-03-30 13:57:36
94,搜索關鍵字,s10084,核能OROR,2017-03-30 13:57:21
95,搜索關鍵字,s10084,核能優OROR,2017-03-30 13:57:17
96,瀏覽網頁,s10084,【台灣必須廢核的10個理由】台灣是唯一將核電廠建在首都圈的國家,2017-3-30 13:54:38
97,瀏覽網頁,s10084,台灣現有的核電廠及其位置,2017-3-30 13:54:14
98,瀏覽網頁,s10084,國內核電廠介紹,2017-3-30 13:54:8
99,瀏覽網頁,s10084,何德？核能！專題系列五：兩座核電廠 殘害金山鄉民健康,2017-3-30 13:53:1
100,瀏覽網頁,s10084,台灣的核電廠,2017-3-30 13:52:46
101,瀏覽網頁,s10084,核電廠基本資料,2017-3-30 13:52:25
102,搜索關鍵字,s10084,核電廠OR人體OR影響,2017-03-30 13:48:37
103,瀏覽網頁,s10084,輻射對健康的影響,2017-3-30 13:48:26
104,搜索關鍵字,s10084,太陽OR優OR,2017-03-30 13:45:30
105,瀏覽網頁,s10084,德智庫：太陽能與風電成本可大幅低於核電,2017-3-30 13:45:16
106,搜索關鍵字,s10084,生質OR優OR,2017-03-30 13:44:08
107,瀏覽網頁,s10084,生質能,2017-3-30 13:43:53
108,瀏覽網頁,s10084,火力發電,2017-3-30 13:43:38
109,筆記,s10084,"火力發電由高溫、高壓、及高速的設備所構成，其運轉與維護較難。 
2.火力發電在用水、燃料輸送、環境保護等有其限制。 
3.火力用於高溫、高壓的蒸氣，有機器上之熱能限制，因此，運用的融 通性較低。 
4.輸出變化速度，因鍋爐有燃燒不安、汽輪機熱應力的限制，所以變化極慢。 
5.起動和停止由於熱應力的限制，需較長時間（停止30小時需要2~3小時）。 
6.因使用燃料，故運轉成本較高。 
7.需要大氣污染、溫排水、噪音等保護環境不受過多污染的對策。 
8.效率對額定輸出而言，輸出愈低即其效率降低愈顯著。",2017-3-30 13:43:23
110,瀏覽網頁,s10084,火力發電,2017-3-30 13:42:30
111,搜索關鍵字,s10084,火力OR優OR,2017-03-30 13:42:10
112,瀏覽網頁,s10084,核能發電的優缺點,2017-3-30 13:41:53
113,搜索關鍵字,s10084,核能OR優OR,2017-03-30 13:41:09
114,筆記,s10084,高度輻射污染,2017-3-30 13:40:36
115,筆記,s10084,高度輻射污染,2017-3-30 13:40:22
116,瀏覽網頁,s10084,支持核能的環保人士忘記車諾比對我們的危害,2017-3-30 13:40:5
117,搜索關鍵字,s10084,核能OROR,2017-03-30 13:38:59
118,瀏覽網頁,s10084,認識核能發電,2017-3-30 13:38:47
119,筆記,s10082,"1.能源危機日漸嚴重
為確保能源穩定供應以及更大的發電量以支持發展中的台灣，決定建核能發電廠來因應需要。

2.全球環保議題轉向溫室效應
核能發電有效又環保，且利用新的核燃料循環技術回收，可減少廢棄物。核能具有非碳能源的特性，不排放二氧化碳、也不會造成空氣污染。

3.再生能源遙不可及",2017-3-29 11:20:7
120,筆記,s10082,"1.能源危機日漸嚴重
為確保能源穩定供應以及更大的發電量以支持發展中的台灣，決定建核能發電廠來因應需要。

2.全球環保議題轉向溫室效應
核能發電有效又環保，且利用新的核燃料循環技術回收，可減少廢棄物。核能具有非碳能源的特性，不排放二氧化碳、也不會造成空氣污染。

3.",2017-3-29 11:19:41
121,瀏覽網頁,s10081,德核能倫理委員會：退核是「新工業革命」,2017-3-29 11:19:29
122,論證,s10081,我反對的原因是核能可能所帶來的災害無法收拾,2017-03-29 11:19:27
123,筆記,s10082,"1.能源危機日漸嚴重
為確保能源穩定供應以及更大的發電量以支持發展中的台灣，決定建核能發電廠來因應需要。

2.全球環保議題轉向溫室效應
核能發電有效又環保，且利用新的核燃料循環技術回收，可減少廢棄物。",2017-3-29 11:19:19
124,筆記,s10082,"1.能源危機日漸嚴重
為確保能源穩定供應以及更大的發電量以支持發展中的台灣，決定建核能發電廠來因應需要。

2.全球環保議題轉向溫室效應",2017-3-29 11:19:2
125,筆記,s10082,"1.能源危機日漸嚴重
為確保能源穩定供應以及更大的發電量以支持發展中的台灣，決定建核能發電廠來因應需要。

2.全球環保議題轉向溫室效應",2017-3-29 11:18:24
126,筆記,s10082,"能源危機日漸嚴重
為確保能源穩定供應以及更大的發電量以支持發展中的台灣，決定建核能發電廠來因應需要。",2017-3-29 11:18:1
127,筆記,s10082,能源危機日漸嚴重,2017-3-29 11:17:51
128,搜索關鍵字,s10081,核能OROR,2017-03-29 11:17:33
129,搜索關鍵字,s10081,核能影響OROR,2017-03-29 11:17:21
130,搜索關鍵字,s10081,核能影響OROR,2017-03-29 11:17:18
131,筆記,s10082,"核能發電的五大優點：
1.核能發電不像化石燃料發電那樣排放巨量的污染物質到大氣中，因此核能發電不會造成空氣污染。 
2.核能發電不會產生加重地球溫室效應的二氧化碳。
3.核能發電所使用的鈾燃料，除了發電外，沒有其他的用途。
4.核燃料能量密度比起化石燃料高上幾百萬倍，故核能電廠所使用的燃料體積小，運輸與儲存都很方便，一座1000百萬瓦的核能電廠一年只需30公噸的鈾燃料，一航次的飛機就可以完成運送。
5.核能發電的成本中，燃料費用所佔的比例較低，核能發電的成本較不易受到國際經濟情勢影響，故發電成本較其他發電方法為穩定。",2017-3-29 11:16:43
132,論證,s10081,我個人不贊成使用核能發電,2017-03-29 11:16:28
133,論證,s10082,我是贊成方,2017-03-29 11:16:23
134,筆記,s10082,"核能發電的五大優點：
1.核能發電不像化石燃料發電那樣排放巨量的污染物質到大氣中，因此核能發電不會造成空氣污染。 
2.核能發電不會產生加重地球溫室效應的二氧化碳。
3.核能發電所使用的鈾燃料，除了發電外，沒有其他的用途。
4.核燃料能量密度比起化石燃料高上幾百萬倍，故核能電廠所使用的燃料體積小，運輸與儲存都很方便，一座1000百萬瓦的核能電廠一年只需30公噸的鈾燃料，一航次的飛機就可以完成運送。
5.核能發電的成本中，燃料費用所佔的比例較低，核能發電的成本較不易受到國際經濟情勢影響，故發電成本較其他發電方法為穩定。",2017-3-29 11:15:56
135,瀏覽網頁,s10082,台灣應該興建核能電廠(正方),2017-3-29 11:15:34
136,瀏覽網頁,s10082,核能發電,2017-3-29 11:15:5
137,瀏覽網頁,s10082,核能發電,2017-3-29 11:15:4
138,搜索關鍵字,s10082,核能OR供電OR,2017-03-29 11:15:00
139,瀏覽網頁,s10081,台灣～核能發電～再生能源,2017-3-29 10:40:12
140,瀏覽網頁,s10081,為什麼台灣不用風力、太陽光電替代核能發電廠？,2017-3-29 10:39:31
141,搜索關鍵字,s10081,核能AND台灣OR,2017-03-29 10:37:32
142,搜索關鍵字,s10081,核能AND台灣OR,2017-03-29 10:37:28
143,搜索關鍵字,s10081,核能發電AND台灣OR,2017-03-29 10:37:21
144,搜索關鍵字,s10081,核能發電OROR,2017-03-29 10:37:10
145,搜索關鍵字,s10081,台灣供電OROR,2017-03-29 10:36:41
146,搜索關鍵字,s10081,供電OROR,2017-03-29 10:36:26
147,搜索關鍵字,s10081,台灣供電OROR,2017-03-29 10:36:24
148,瀏覽網頁,s10081,核電廠會影響附近居民健康嗎？(台電),2017-3-29 10:36:17
149,瀏覽網頁,s10081,揭開 台灣核電廠 不能說的８個祕密／台電三十三年員工的血淚控訴,2017-3-29 10:31:50
150,瀏覽網頁,s10081,【台灣必須廢核的10個理由】台灣是唯一將核電廠建在首都圈的國家,2017-3-29 10:31:17
151,瀏覽網頁,s10081,核電廠退休員工控訴害罹癌　向台電求償遭拒,2017-3-29 10:30:20
152,瀏覽網頁,s10081,台灣現有的核電廠及其位置,2017-3-29 10:29:55
153,搜索關鍵字,s10081,核電廠OROR,2017-03-29 10:28:08
154,瀏覽網頁,s10081,「核四應改為火力發電、廢核不廢電」締造亮麗的非核家園vs 高雄氣爆,2017-3-29 10:27:24
155,瀏覽網頁,s10081,核能發電的優缺點,2017-3-29 10:26:15
156,瀏覽網頁,s10081,核廢料？就放你家吧！,2017-3-29 10:24:31
157,搜索關鍵字,s10081,核能發電OROR,2017-03-29 10:22:22
158,瀏覽網頁,s10081,未來的綠色能源–燃料電池,2017-3-29 10:22:8
159,搜索關鍵字,s10081,能源優劣OROR,2017-03-29 10:21:19
160,搜索關鍵字,s10081,能源比較OROR,2017-03-29 10:21:07
161,搜索關鍵字,s10081,能源ANDOR,2017-03-29 10:20:11
162,搜索關鍵字,s10081,核能AND火力OR,2017-03-29 10:19:54
163,搜索關鍵字,s10081,核能AND火力OR,2017-03-29 10:19:47
164,搜索關鍵字,s10081,核能優點OROR,2017-03-29 10:19:34
165,搜索關鍵字,s10081,核能OROR,2017-03-29 10:19:06
166,筆記,s10082,"核廢料處理問題 
高低階放射性廢料
排放廢熱到環境
反應器內有大量的放射性物質",2017-3-29 10:1:22
167,瀏覽網頁,s10082,美麗新世界的驅動力–核能發電的前世今生與未來,2017-3-29 10:1:10
168,瀏覽網頁,s10082,德國放棄核能，為何其他國家不能？,2017-3-29 9:59:59
169,瀏覽網頁,s10082,加強核能電廠運轉/維護的安全管制,2017-3-29 9:59:43
170,筆記,s10082,"核廢料處理問題 
高低階放射性廢料
排放廢熱到環境
反應器內有大量的放射性物質",2017-3-29 9:59:35
171,筆記,s10082,"核廢料處理問題 
高低階放射性廢料
排放廢熱到環境",2017-3-29 9:59:17
172,筆記,s10082,"核廢料處理問題 
高低階放射性廢料",2017-3-29 9:58:59
173,筆記,s10082,核廢料處理問題 ,2017-3-29 9:58:43
174,瀏覽網頁,s10082,環境變遷與永續發展期末報告：來談談核能,2017-3-29 9:57:50
175,瀏覽網頁,s10082,核能發電,2017-3-29 9:57:10
176,搜索關鍵字,s10082,核能OR供電OR,2017-03-29 09:56:04
177,筆記,s10082,"防護衣只能防汙  無法防輻射
員工維修時  反應爐竟不停機
找散工、遊民洗高汙染反應爐 
徒手撿輻射零件  釀血液病變
癌症罹患率
遭受輻射污染",2017-3-29 9:54:6
178,筆記,s10082,"防護衣只能防汙  無法防輻射
員工維修時  反應爐竟不停機
找散工、遊民洗高汙染反應爐 
徒手撿輻射零件  釀血液病變
癌症罹患率
遭受輻射污染",2017-3-29 9:53:35
179,瀏覽網頁,s10082,核電廠退休員工控訴害罹癌　向台電求償遭拒,2017-3-29 9:53:35
180,筆記,s10082,"防護衣只能防汙  無法防輻射
員工維修時  反應爐竟不停機
找散工、遊民洗高汙染反應爐 
徒手撿輻射零件  釀血液病變
癌症罹患率
遭受輻射污染",2017-3-29 9:53:14
181,筆記,s10082,"防護衣只能防汙  無法防輻射
員工維修時  反應爐竟不停機
找散工、遊民洗高汙染反應爐 
徒手撿輻射零件  釀血液病變
癌症罹患率",2017-3-29 9:52:39
182,瀏覽網頁,s10082,何德？核能！專題系列五：兩座核電廠 殘害金山鄉民健康,2017-3-29 9:51:56
183,筆記,s10082,"防護衣只能防汙  無法防輻射
員工維修時  反應爐竟不停機
找散工、遊民洗高汙染反應爐 
徒手撿輻射零件  釀血液病變",2017-3-29 9:51:36
184,筆記,s10082,"防護衣只能防汙  無法防輻射
員工維修時  反應爐竟不停機
找散工、遊民洗高汙染反應爐 ",2017-3-29 9:51:27
185,筆記,s10082,"防護衣只能防汙  無法防輻射
員工維修時  反應爐竟不停機",2017-3-29 9:50:54
186,筆記,s10082,防護衣只能防汙  無法防輻射,2017-3-29 9:50:41
187,瀏覽網頁,s10082,揭開 台灣核電廠 不能說的８個祕密／台電三十三年員工的血淚控訴,2017-3-29 9:50:14
188,瀏覽網頁,s10082,核廢貯存首公開 居民再籲儘速遷,2017-3-29 9:49:53
189,瀏覽網頁,s10082,核電廠會影響附近居民健康嗎？(台電),2017-3-29 9:49:18
190,搜索關鍵字,s10082,核電廠OR居民OR員工,2017-03-29 09:49:09
191,搜索關鍵字,s10082,核電廠OR居民OR,2017-03-29 09:48:56
192,筆記,s10082,"核能
優 不會排放巨量的污染物到大氣中、燃料棒體積小，運送與儲存都方便
缺 高放射性核廢料、低放射性核廢料、能量轉換效率比一般的石化燃料更低、投資成本高、放射性物質、廢熱",2017-3-29 9:46:12
193,筆記,s10082,"核能
優 不會排放巨量的污染物到大氣中、燃料棒體積小，運送與儲存都方便
缺 高放射性核廢料、低放射性核廢料、能量轉換效率比一般的石化燃料更低、投資成本高、放射性物質、廢熱",2017-3-29 9:45:59
194,筆記,s10082,"核能
優 不會排放巨量的污染物到大氣中、燃料棒體積小，運送與儲存都方便
缺 高放射性核廢料、低放射性核廢料、能量轉換效率比一般的石化燃料更低、投資成本高、放射性物質、廢熱",2017-3-29 9:45:59
195,筆記,s10082,"核能
優 不會排放巨量的污染物到大氣中
缺 高放射性核廢料、低放射性核廢料、能量轉換效率比一般的石化燃料更低、投資成本高、放射性物質、廢熱",2017-3-29 9:45:46
196,筆記,s10082,"核能
優 
缺 高放射性核廢料、低放射性核廢料、能量轉換效率比一般的石化燃料更低、投資成本高、放射性物質、廢熱",2017-3-29 9:45:32
197,筆記,s10082,"核能
優 
缺 高放射性核廢料、低放射性核廢料、能量轉換效率比一般的石化燃料更低、投資成本高、放射性物質",2017-3-29 9:45:3
198,筆記,s10082,"核能
優 
缺 高放射性核廢料、低放射性核廢料、能量轉換效率比一般的石化燃料更低、投資成本高、",2017-3-29 9:44:14
199,筆記,s10082,"核能
優 
缺 高放射性核廢料、低放射性核廢料、能量轉換效率比一般的石化燃料更低、投資成本高、",2017-3-29 9:44:14
200,筆記,s10082,"核能
優 
缺 高放射性核廢料、低放射性核廢料、能量轉換效率比一般的石化燃料更低",2017-3-29 9:43:54
201,筆記,s10082,"核能
優 
缺 高放射性核廢料、低放射性核廢料",2017-3-29 9:43:38
202,筆記,s10082,"核能
優 
缺 高放射性核廢料、低放射性核廢料",2017-3-29 9:43:38
203,筆記,s10082,"核能
優 
缺 高放射性核廢料",2017-3-29 9:43:27
204,筆記,s10082,"核能
優 
缺 高放射性核廢料",2017-3-29 9:43:27
205,搜索關鍵字,s10082,核能OR優OR缺,2017-03-29 09:42:50
206,搜索關鍵字,s10082,核能OR優OR缺,2017-03-29 09:42:46
207,瀏覽網頁,s10082,核能發電的優缺點,2017-3-29 9:42:40
208,筆記,s10082,"核能
優 
缺 ",2017-3-29 9:42:19
209,瀏覽網頁,s10082,核能，能不能？,2017-3-29 9:41:20
210,搜索關鍵字,s10082,核能OR優點OR缺點,2017-03-29 09:40:32
211,瀏覽網頁,s10082,台灣核能發電廠發展歷史,2017-3-29 9:40:31
212,論證,s10080,是打算台電要向民營電廠買電,2017-03-24 11:05:21
213,論證,s10080,可是現在的電力政策,2017-03-24 11:05:08
214,論證,s10079,壟斷的意思就是市場不只一個廠商，會競爭,2017-03-24 11:04:54
215,論證,s10080,就像之前便利商店一樣一起漲價,2017-03-24 11:04:47
216,論證,s10080,電力民營的話，難道廠商就不會壟斷嗎?,2017-03-24 11:04:31
217,瀏覽網頁,s10079,德國放棄核能，為何其他國家不能？,2017-3-24 11:4:13
218,論證,s10079,台灣電價問題還有一個問題是台電壟斷，日本最近推出電力民營，多家公司供電可以推出更多優惠方案，使得電力市場不再是獨占。台灣是否可以效法?,2017-03-24 11:03:35
219,搜索關鍵字,s10080,再生能源OROR,2017-03-24 11:02:57
220,瀏覽網頁,s10080,台灣～核能發電～再生能源,2017-3-24 11:2:33
221,論證,s10079,不是說核能完全不好，而是在台灣的地理環境下座核能的風險跟其他國家不一樣。如果台灣是大陸國家地大又不處於地震帶上，有超大的地理空間可以負荷危機處理，那做好安全措施還算可以接受。但以日本相比，我們地理面積比他們小；地震發生頻率比他們高。日本工業技術發展之高，如何相信我們有比他們更好的條件可以做到零事故?,2017-03-24 11:01:55
222,瀏覽網頁,s10080,核廢料的妥善處理具可行性,2017-3-24 11:0:45
223,瀏覽網頁,s10079,日本311地震對東南亞國家核能政策的影響,2017-3-24 11:0:38
224,瀏覽網頁,s10079,日本311地震對東南亞國家核能政策的影響,2017-3-24 11:0:38
225,論證,s10079,而且不會有開發不出來的問題，只是成本跟轉換率的效益比問題而已。,2017-03-24 10:58:23
226,論證,s10079,減核跟開發應該並進，不能因為開發不出來就都不開始減吧?,2017-03-24 10:58:03
227,搜索關鍵字,s10080,核廢料OROR,2017-03-24 10:57:52
228,論證,s10079,不館漲水漲電都會有人叫苦，今天要任何人多付房租也都會抱怨。合理漲價範圍內，政府本就要有承擔民眾輿論的心理準備。另外開發新的替代能源成本，應是國家重大建設，會從每年的國家預算中支出，民眾不會有感覺。,2017-03-24 10:57:44
229,瀏覽網頁,s10080,核能與科技：核廢料存放,2017-3-24 10:57:30
230,論證,s10080,萬一核能減了，替代能源又沒有開發出來呢?,2017-03-24 10:57:11
231,論證,s10080,已經造成的問題那就要去改善它們，就像前面說到的我們要更注意核電廠的安全性,2017-03-24 10:56:35
232,論證,s10080,正是經濟實力的問題，現在光是要調漲電費就多少人喊苦了，有些人連這樣廉價的電費要漲就要支撐不起了，我們要如何用相對高價許多的其它能源來換掉核能,2017-03-24 10:55:47
233,論證,s10079,另外除了核災風險外，現有的癌症村跟核廢料的問題何解？核廢料要運去哪？台電對金山核一核二廠的居民罹癌要付出的補償成本是不是更大?,2017-03-24 10:55:25
234,論證,s10079,民生用電跟工業用電的觀念也應該從教育著手改變，城市建築、綠地等等，有很多方面可以提倡。,2017-03-24 10:53:48
235,論證,s10079,另外東部海岸的潮汐發電也是值得研究的乾淨能源，既然都可以擬定二三十年的減核計畫，應該投入更多資源開發替代能源。,2017-03-24 10:52:50
236,論證,s10079,另外，發電的確是需要考量的問題。因此減核到廢核應該是長期的規劃。台灣西部海岸有很好的風場，只是風力發電轉換率不高且成本高，不過乾淨安全不應該做為成本的犧牲。,2017-03-24 10:52:11
237,論證,s10079,當然現有的核電廠要更換系統，用更耐震的建材。但完全能萬無一失嗎？看日本雖然疏散居民成功，但輻射外洩衝擊日本經濟多少？現在要進口日本蔬果，台灣就吵得不可開交？台灣有經濟實力承受核災風險嗎？,2017-03-24 10:51:21
238,瀏覽網頁,s10080,為什麼台灣不用風力、太陽光電替代核能發電廠？,2017-3-24 10:50:53
239,瀏覽網頁,s10080,核能發電的神學反省,2017-3-24 10:49:31
240,搜索關鍵字,s10080,發電OROR,2017-03-24 10:49:09
241,搜索關鍵字,s10080,發電量OROR,2017-03-24 10:49:06
242,瀏覽網頁,s10080,歐盟報告稱 太陽能發電成本可媲美核能,2017-3-24 10:48:56
243,論證,s10080,如果從減核到廢核，那接下來的能源問題應該如何處理?現在核能發電占了台灣發電總量的百分之二十,2017-03-24 10:48:26
244,瀏覽網頁,s10079,核能發電與核子武器有何不同？車諾比核災、福島核災與原子彈爆炸有何不同？,2017-3-24 10:47:58
245,論證,s10080,所以我們才需要投入人多的成本去維護核能使它足夠安全，像是在地震發生時斷電的話，可以繼續供水的系統，或者更耐震的建材，來避免災難的發生,2017-03-24 10:47:32
246,瀏覽網頁,s10079,核能新思維,2017-3-24 10:47:31
247,瀏覽網頁,s10079,核能發電的神學反省,2017-3-24 10:47:17
248,筆記,s10079,"陽明大學教授張武修曾於90年到金山、石門及萬里進行空氣落塵監測，結果竟在民家屋頂發現錳-54、鈷-60與銫-137等人工核種

台灣的核廢料原本存放在蘭嶼，後來傳出要送去北韓、送去大陸，不知道現在在哪裡？更糟糕的是，核廢料中許多成分可以做為核彈的原料，增加核電廠會同時增加這些原料落入恐怖分子手裡的危險。",2017-3-24 10:47:10
249,筆記,s10079,"陽明大學教授張武修曾於90年到金山、石門及萬里進行空氣落塵監測，結果竟在民家屋頂發現錳-54、鈷-60與銫-137等人工核種

台灣的核廢料原本存放在蘭嶼，後來傳出要送去北韓、送去大陸，不知道現在在哪裡？更糟糕的是，核廢料中許多成分可以做為核彈的原料，增加核電廠會同時增加這些原料落入恐怖分子手裡的危險。",2017-3-24 10:47:10
250,瀏覽網頁,s10079,癮科學：替代能源 -- 核能,2017-3-24 10:45:43
251,筆記,s10079,陽明大學教授張武修曾於90年到金山、石門及萬里進行空氣落塵監測，結果竟在民家屋頂發現錳-54、鈷-60與銫-137等人工核種,2017-3-24 10:45:32
