group,stu_id,type,content,
0,s10056,2,核能災害OR車諾比OR,11/17/16 03:38 PM
0,s10055,1,以上困難點該如何解決,11/17/16 03:37 PM
0,s10056,4,核能發電與核子武器有何不同？車諾比核災、福島核災與原子彈爆炸有何不同？,11/17/16 03:37 PM
0,s10055,1,台大化工系教授施信民表示，車諾堡事件當時疏散30公里，台灣核電廠的緊急疏散只有半徑5公里，多數的新北市、全部的台北市都在核一、核二廠30公里範圍內，五、六百萬人口，同樣疏散面積人口是日本的20倍，疏散難度更高。,11/17/16 03:37 PM
0,s10056,2,核能災害OR應變方式OR,11/17/16 03:37 PM
0,s10055,1,而台灣的核一、核二、核四都跟福島電廠的機型、設置時間差不多，也就是說，福島核災也可能發生在台灣。然而，相較於福島，台灣四個核電廠的位置、結構有許多令人擔心之處。,11/17/16 03:37 PM
0,s10056,4,核能災害與防災,11/17/16 03:36 PM
0,s10055,4,福島核災警示[(2-1)福島核災[台灣呢？,11/17/16 03:36 PM
0,s10055,1,請提出完整並且完善的應變方式,11/17/16 03:36 PM
0,s10055,1,制定,11/17/16 03:35 PM
0,s10056,1,所以台灣應當志定核災的應變方案.修改核電廠設計.而非一昧的拒絕核能,11/17/16 03:35 PM
0,s10055,1,台灣目前要啟動的核四，是日本東芝、三菱廠商製作的，這是很危險的，難道政府都沒有在反省嗎？再看到大台北地區，我感覺大家住在非常嚇人的地方，事故發生根本無法逃難，最好的方式就是疏散核電廠，唯有關掉核電廠，大家的生活才會有保障。,11/17/16 03:35 PM
0,s10055,1,核電廠是不說謊就無法運轉的地方,11/17/16 03:34 PM
0,s10055,4,「我們都被欺騙了」[福島受災戶揭核災真相,11/17/16 03:34 PM
0,s10055,1,台灣沒有核化災應變方案，卻還要硬蓋核電廠?,11/17/16 03:34 PM
0,s10055,1,核災若不幸發生，逃命圈過去台灣只有設8公里,11/17/16 03:34 PM
0,s10055,1,日本「全國廢核地方領袖會議」會長、東海村前村長村上達也提到，當自己了解台灣核電廠狀況後，覺得「台灣核電廠建在很可怕的地方」,11/17/16 03:34 PM
0,s10055,4,德核能倫理委員會：退核是「新工業革命」,11/17/16 03:34 PM
0,s10055,1,311福島事件所在地雙葉町長井戶川克隆提到，這次事故的主要原因，是出在核電廠的基本設計，也是根本問題,11/17/16 03:33 PM
0,s10056,2,空氣汙染OR火力OR,11/17/16 03:33 PM
0,s10055,4,核能與科技：核廢料存放,11/17/16 03:33 PM
0,s10055,2,福島OROR,11/17/16 03:33 PM
0,s10055,2,福島OROR,11/17/16 03:33 PM
0,s10055,2,福島事件OROR,11/17/16 03:33 PM
0,s10056,4,「核四應改為火力發電、廢核不廢電」締造亮麗的非核家園vs[高雄氣爆,11/17/16 03:33 PM
0,s10055,2,福島事件OR汙染OR,11/17/16 03:33 PM
0,s10056,4,火力發電,11/17/16 03:32 PM
0,s10055,4,核能，能不能？,11/17/16 03:32 PM
0,s10056,4,火力發電,11/17/16 03:32 PM
0,s10056,1,「福島事件迄今僅造成數人（a[few）死亡」，「核電廠已經拯救180萬人的性命，免得他們因火力發電的空氣汙染而致命。」,11/17/16 03:31 PM
0,s10056,4,火力發電,11/17/16 03:31 PM
0,s10055,1,唯有穩健減核，才能兼顧能源安全、經濟發展與民眾福祉，進而打造綠能低碳環境，逐步邁向非核家園。[,11/17/16 03:31 PM
0,s10055,4,火力發電,11/17/16 03:31 PM
0,s10056,2,火力OR缺點OR,11/17/16 03:31 PM
0,s10056,2,火力OR缺點OR,11/17/16 03:31 PM
0,s10056,2,火力OR缺點OR,11/17/16 03:30 PM
0,s10055,2,核能OR汙染OR,11/17/16 03:30 PM
0,s10055,2,核能OR汙染OR,11/17/16 03:30 PM
0,s10056,1,但國際原油成本上升.要對應如此高的成本.勢必要做出一些權衡,11/17/16 03:30 PM
0,s10056,4,火力發電比核電害死更多人？,11/17/16 03:30 PM
0,s10055,4,火力發電,11/17/16 03:30 PM
0,s10055,1,火力發電廠通過各種旋轉機械將燃燒產生的熱能轉換為機械能，然後驅動發電機。[[原動機通常是蒸汽機或燃氣輪機，在一些較小的電站，也有可能會使用內燃機。[[他們都是通過利用高溫、高壓蒸汽或燃氣通過透平變為低壓空氣或冷凝水這一過程中的壓降來發電的。,11/17/16 03:29 PM
0,s10055,4,核能發電,11/17/16 03:29 PM
0,s10055,1,相對而言，天然氣的有害物質較少。[[在其轉換成液態處理過程中，硫、氮、水分等不純物質，已被盡數去除，所以燃燒時只產生少量的氮氧化物及二氧化碳。[[故此，天然氣可以緩解能源緊缺，減少環境污染。,11/17/16 03:29 PM
0,s10055,4,第一核能發電廠,11/17/16 03:29 PM
0,s10055,4,第一核能發電廠,11/17/16 03:29 PM
0,s10055,2,火力發電OROR,11/17/16 03:28 PM
0,s10055,2,火力發電OROR,11/17/16 03:28 PM
0,s10055,2,火力發電OR汙染OR,11/17/16 03:28 PM
0,s10056,1,未來火力發電的資源又該從核而來呢,11/17/16 03:28 PM
0,s10055,4,美麗新世界的驅動力–核能發電的前世今生與未來,11/17/16 03:28 PM
0,s10056,1,那火力發電造成的汙染該如何回復呢,11/17/16 03:28 PM
0,s10055,2,核能發電OR汙染OR,11/17/16 03:28 PM
0,s10055,2,核能發電OR汙染OR,11/17/16 03:28 PM
0,s10055,4,火力發電,11/17/16 03:27 PM
0,s10055,2,核能發電OR供電問題OR,11/17/16 03:27 PM
0,s10055,2,核能發電OR供電問題OR,11/17/16 03:27 PM
0,s10056,2,核電廠OR安全OR,11/17/16 03:27 PM
0,s10055,4,火力發電,11/17/16 03:27 PM
0,s10056,4,世界各地核電廠[今後動向,11/17/16 03:27 PM
0,s10055,2,核能發電OR供電問題OR,11/17/16 03:26 PM
0,s10055,1,將核四改建為火力(瓦斯)發電｣；亦無需舉辦｢公投｣，浪費社會成本,11/17/16 03:25 PM
0,s10055,1,日本｢福島的核災｣實該當為驚惕的教訓借鏡。天災的發生，很難預測、控制，所以｢核安｣若不與天災配合考量，｢核安｣就易出錯。因此，政府長久的高明策略，實應積極加強轉換運用太陽能、風力等的發電；舊核電廠不應再延役；核四即仿效美國金馬核電廠，改建為火力發電。所以「核四不能只停建、應改建為火力發電」。,11/17/16 03:25 PM
0,s10056,1,要有效地長期儲存放射性廢物便要把它們轉換成一種穩定.[長期不會降解(因為降解時會產生大量的崩解熱並使廢液沸騰，產生放射性氣體，增加儲存桶的壓力並發生洩漏。)[和發生反應的方式儲存。而將之玻璃化就能做到這一點。,11/17/16 03:24 PM
0,s10055,1,1979年美國三哩島發生核災事故，政府下令停建一百十一所新核電廠；美國電力界精英就發揮其智慧，將｢核電改為火力發電｣，不但拯救了幾千億美元的設備損失，還因另設配套(Tapping[Units)，而聚增了62%的發電量，驚訝了全球發電界。就中尤以金馬核電廠(Zimmer[Nuclear[Power[Plant.[Ohio)改建成火力發電為最佳典例---其核電廠已建妥九成多，但改建為火力發電竟撙節了一億多美元建廠費。,11/17/16 03:24 PM
0,s10056,1,高風險是因為過去核電廠沒有做好.並不代表核電是壞的,11/17/16 03:23 PM
0,s10055,1,核廢料處置應如何處理呢,11/17/16 03:23 PM
0,s10056,1,若能對核廢料處置的第三階段.最終處置作好相對的配套措施.我認為其汙染的量是可以控制的[[以福島為例的話.核電廠中的安全規章準則應訂定的更加仔細明確,11/17/16 03:23 PM
0,s10055,1,台灣四座核電廠皆在全球十四大高風險核電廠內,11/17/16 03:23 PM
0,s10055,1,核放射線會帶來可怕的癌症與殘障的嬰兒。,11/17/16 03:22 PM
0,s10055,1,這是不可控制的災害,11/17/16 03:22 PM
0,s10055,1,以日本的福島核電廠爆炸為例,11/17/16 03:22 PM
0,s10055,4,「核四應改為火力發電、廢核不廢電」締造亮麗的非核家園vs[高雄氣爆,11/17/16 03:22 PM
0,s10055,1,核能更不安全,11/17/16 03:21 PM
0,s10055,4,核能發電與核子武器有何不同？車諾比核災、福島核災與原子彈爆炸有何不同？,11/17/16 03:21 PM
0,s10055,1,但火力發電的汙染仍較核能發電來得少,11/17/16 03:21 PM
0,s10055,4,核能發電現況與展望,11/17/16 03:21 PM
0,s10055,4,核能發電現況與展望,11/17/16 03:21 PM
0,s10055,4,台灣核能發電廠發展歷史,11/17/16 03:21 PM
0,s10056,1,環境汙染上是一定的.但如何將他降低或者做好安全才是主要重點,11/17/16 03:21 PM
0,s10055,4,認識核能發電,11/17/16 03:21 PM
0,s10055,2,火力發電OR優點OR,11/17/16 03:21 PM
0,s10055,2,火力發電OR優點OR,11/17/16 03:20 PM
0,s10055,4,終止核能發電,11/17/16 03:20 PM
0,s10056,1,目前台灣主要的發電手段為火力發電.此方法在永續上也造成很大影響.比方說資源取得不易.環境汙染等等,11/17/16 03:20 PM
0,s10055,4,為什麼台灣不用風力、太陽光電替代核能發電廠？,11/17/16 03:20 PM
0,s10055,2,核能發電OR反對OR,11/17/16 03:19 PM
0,s10055,2,核能發電OR不贊成OR,11/17/16 03:19 PM
0,s10055,4,核能發電的神學反省,11/17/16 03:19 PM
0,s10056,2,核電OR廢料OR,11/17/16 03:19 PM
0,s10056,2,核電OR最終OR,11/17/16 03:18 PM
0,s10055,1,核電已經造成人類以及萬物是否能夠永續生存的問題。我們所欲追求的應是一永續的，在以上主為主體之下，受造物能夠彼此尊重，和諧生存的生態環境。,11/17/16 03:18 PM
0,s10056,4,核能與科技：核廢料存放,11/17/16 03:18 PM
0,s10056,4,核能與科技：核廢料存放,11/17/16 03:18 PM
0,s10055,4,台灣～核能發電～再生能源,11/17/16 03:18 PM
0,s10055,1,核電問題多多，像日本之核電事故，其影響範圍是無法估計的。在發生核事故之後，福島二本松市所生產的新米樣本中，已經驗出放射性物質銫含量超出政府規定。而福島南相馬市生產的牛肉中也發現超標輻射銫，換句話說，以輻射物質之具有長久的半衰期的特性而言，會通過食物鏈而危害人類以及萬物之生存。再就是所謂正常運轉的核電廠，光是思考如何防止輻射外洩本身就是一大難題，也就是沒有所謂絕對安全的方式。例如，使用後具有高輻射污染的廢燃料棒的貯存，在台灣皆暫時貯存於核電廠的水池中。而中、低汙染廢棄物過去主要貯存於蘭嶼。但這些貯存方式並不能保證絕對安全。,11/17/16 03:18 PM
0,s10055,4,火力發電比核電害死更多人？,11/17/16 03:17 PM
0,s10056,2,核能發電OR好處OR,11/17/16 03:17 PM
0,s10055,2,核能發電OR缺點OR,11/17/16 03:17 PM
0,s10056,4,核能發電現況與展望,11/17/16 03:17 PM
0,s10056,1,火力發電的資源也相當有限.在更好的方法被完整的提出前.核能發電不失為一個好的替代方案,11/17/16 03:16 PM
0,s10056,4,美國支持核電民意仍佔絕對多數」,11/17/16 03:16 PM
0,s10055,2,核能發電OR火力發電OR,11/17/16 03:16 PM
0,s10056,4,鄭國威：這是我支持廢核的理由──反核陣營需要互相檢討,11/17/16 03:16 PM
0,s10056,1,不是說需要大量採用.而是可以做小部分的替代即可,11/17/16 03:15 PM
0,s10055,1,核災後的健康影響低估預測是不可靠的。2005年國際原子能機構IAEA與世界衛生組織WHO所發表的切爾諾貝爾核災報告被指控是特意隱藏重要數據，以支持該報告所稱的低死亡率，是經不起科學檢視的報告。國際原子能機構IAEA的成立目的是為了促進核能的使用，在任何健康影響報告上有利益衝突的問題。考慮到輻射致癌，而癌症病發有潛伏期的因素，現在要對福島核災導致的長期健康影響做預測是過早的，雖然現在已經觀察到若干健康影響的症狀。,11/17/16 03:15 PM
0,s10056,1,但火力發電的汙染相當嚴重.必須在兩者之間做出權衡,11/17/16 03:15 PM
0,s10055,4,核能發電是開啟潘朵拉災難的盒子！,11/17/16 03:14 PM
0,s10055,1,繼續使用核能發電代表繼續使核電廠周圍的人口曝露在輻射的風險中。核電廠例行釋放或是意外事件大釋放出的電離輻射導致細胞損傷與基因突變，進而導致癌症與其他相關疾病。特別是兒童所受的傷害更大。研究資料顯示居住越靠近運轉的核電廠的兒童，白血病例越高。,11/17/16 03:14 PM
0,s10055,1,但核能的汙染是無法回復的,11/17/16 03:14 PM
0,s10056,1,目前火力發電的汙染已達相當嚴重的程度.因此我認為採用核能來補足一部分的發電量是合理的,11/17/16 03:14 PM
0,s10055,1,核能電廠，無論是何種反應爐設計，無法即時阻止氣候變遷的問題。要有效大量減少排碳能源的使用，至少要在全球現有的核電廠之外，再新建1.000[~[1.500座發電量10億瓦以上的核反應爐，並且要在2050年之前全部上線發電、供電。這是完全做不到的主張。,11/17/16 03:14 PM
0,s10055,1,核能應該是人類最後不得已的選擇，而不是必要的選擇[由於目前地球溫室效應嚴重，保留一小部分的核能發電確實有其必要性，但是不能因為這個理由就大量使用。我對核能的建議只有一個：它應該是人類最後不得已的選擇，而不是必要的選擇。換句話說，其實我們還是應該全力投入其他無污染的再生性能源研發才對，而不能因為現在核能發電的成本比較低就大量使用核能發電，此外，核能相關的研發仍然應該繼續努力，不能放棄，或許將來有一天我們可以找到一種類似核融合反應一樣無污染的核能，那麼人類的能源問題就解決囉！,11/17/16 03:13 PM
0,s10056,1,環境污染的部分可以將廢料做集中處理.在相對於火力發電的汙染來說.我認為核廢料是相對不嚴重的,11/17/16 03:12 PM
0,s10055,4,核能發電的優缺點,11/17/16 03:12 PM
0,s10055,1,核能絕對不是一種安全的能源[雖然任何一件事情都有好有壞，任何一種發電方式都有利有弊，但是在所有的發電方式中，只有核能發生事故會造成「極為毀滅性而且全面性」的傷害，擁核的人總是說，現在的核能電廠很安全，但是這個世界沒有任何事情是絕對的，如果發生地震呢？戰爭呢？有人說現在的核能電廠有電腦自動控制保護所以很安全，在這裏我要強調另外一個觀念，這個世界上最不能相信的就是電腦和機器，因為電腦會當機、機器會故障，更不能相信人為操作，因為只要是人為操作就有可能發生疏忽與錯誤，而核能發電的疏忽與錯誤代價實在太大了。,11/17/16 03:12 PM
0,s10055,1,核能電廠的反應器內有大量的放射性物質，如果發生事故釋放到外界環境，會對生態及民眾造成「極為毀滅性而且全面性」的傷害，這一點其實是核能電廠最嚴重的缺點。,11/17/16 03:12 PM
0,s10055,1,核能電廠的投資成本比火力發電廠還大許多，再加上土地取得困難，電力公司所承受的財務風險也比較高，以2012年日本福島核能災變為例，東京電力公司其實是無法承受核能災變所付出的代價，其實是日本政府在背後支持的。,11/17/16 03:12 PM
0,s10055,1,核能電廠的能量轉換效率比一般的石化燃料更低，所以核能電廠會排放更多的廢熱到環境裏，造成沿海嚴重的熱污染。,11/17/16 03:12 PM
0,s10055,1,核能發電的燃料棒使用大約兩年以後可以廢棄，我們稱作「高放射性核廢料」；而員工平常因為操作接觸放射性物質後，所產生的手套、衣服等一般廢棄物稱為「低放射性核廢料」，核廢料的處理是很令人頭痛的問題。,11/17/16 03:12 PM
0,s10055,1,我不贊成使用核能發電，因為會造成環境汙染,11/17/16 03:11 PM
0,s10055,2,核能發電OR臺灣供電OR,11/17/16 03:11 PM
0,s10055,2,核能發電AND臺灣供電OR,11/17/16 03:11 PM
0,s10056,2,核能發電OR支持OR,11/17/16 03:10 PM
0,s10056,4,核能發電的優缺點,11/17/16 03:10 PM
0,s10055,4,美麗新世界的驅動力–核能發電的前世今生與未來,11/17/16 02:42 PM
0,s10055,4,核能發電現況與展望,11/17/16 02:42 PM
0,s10055,4,核能發電現況與展望,11/17/16 02:42 PM
0,s10055,4,終止核能發電,11/17/16 02:42 PM
0,s10055,4,核能發電是開啟潘朵拉災難的盒子！,11/17/16 02:40 PM
0,s10055,4,為什麼台灣不用風力、太陽光電替代核能發電廠？,11/17/16 02:40 PM
0,s10055,3,贊成觀點核能目前還是效益、乾淨度最高的發電方式。再生能源很多，目前講得出來的有一堆，但多半都兩個根本上的問題：[1.[穩定性很差[2.[發電效益很差目前台灣主要的發電就是核能、火力、水力三種發電方式。[核能和火力為主，原因在於這兩者的穩定性最好，發電量不會忽高忽低，,11/17/16 02:39 PM
0,s10055,3,核能目前還是效益、乾淨度最高的發電方式。再生能源很多，目前講得出來的有一堆，但多半都兩個根本上的問題：[1.[穩定性很差[2.[發電效益很差,11/17/16 02:39 PM
0,s10055,3,核能目前還是效益、乾淨度最高的發電方式。,11/17/16 02:38 PM
0,s10055,3,核能目前還是效益、乾淨度最高的發,11/17/16 02:38 PM
0,s10055,3,核能目前還是效益、乾淨度最高的發,11/17/16 02:38 PM
0,s10055,4,台灣～核能發電～再生能源,11/17/16 02:38 PM
0,s10055,4,台灣～核能發電～再生能源,11/17/16 02:38 PM
0,s10055,2,核能發電OR臺灣供電OR,11/17/16 02:36 PM
0,s10055,3,不支持者1.核電廠退休員工一名台電核能電廠退休員工，疑似因為長期處在輻射環境中得到癌症，拿出醫生診斷和勞委會鑑定報告，以職業病傷害向資方求償。68年有一次短時間高劑量輻射，游離輻射傷害，造成30幾年來，血液一直病變，台大到成大證明，自己的血液病變加上一個喉癌，它們之間有強烈的關聯，開出來有三張職業病證明，加上勞委會鑑定書，既然台電都不承認。[在高輻射區工作十年間，我多次暴露於高輻射環境下，而且缺乏足夠防護措施。雖然我身為台電的核電廠員工，但我不得不說：「核能發電是不必要的！」我們與其每年投入大量經費在核能上，不如把錢花在省電建設、發展再生能源，如省電燈飾或太陽能發電、風力發電等。,11/17/16 02:33 PM
0,s10055,3,不支持者1.核電廠退休員工一名台電核能電廠退休員工，疑似因為長期處在輻射環境中得到癌症，拿出醫生診斷和勞委會鑑定報告，以職業病傷害向資方求償。68年有一次短時間高劑量輻射，游離輻射傷害，造成30幾年來，血液一直病變，台大到成大證明，自己的血液病變加上一個喉癌，它們之間有強烈的關聯，開出來有三張職業病證明，加上勞委會鑑定書，既然台電都不承認。[在高輻射區工作十年間，我多次暴露於高輻射環境下，而且缺乏足夠防護措施。雖然我身為台電的核電廠員工，但我不得不說：「核能發電是不必要的！」我們與其每年投入大量經費在核能上，不如把錢花在省電建設、發展再生能源，如省電燈飾或太陽能發電、風力發電等。,11/17/16 02:32 PM
0,s10055,3,不支持者1.核電廠退休員工一名台電核能電廠退休員工，疑似因為長期處在輻射環境中得到癌症，拿出醫生診斷和勞委會鑑定報告，以職業病傷害向資方求償。68年有一次短時間高劑量輻射，游離輻射傷害，造成30幾年來，血液一直病變，台大到成大證明，自己的血液病變加上一個喉癌，它們之間有強烈的關聯，開出來有三張職業病證明，加上勞委會鑑定書，既然台電都不承認。[在高輻射區工作十年間，我多次暴露於高輻射環境下，而且缺乏足夠防護措施。雖然我身為台電的核電廠員工，但我不得不說：「核能發電是不必要的！」我們與其每年投入大量經費在核能上，不如把錢花在省電建設、發展再生能源，如省電燈飾或太陽能發電、風力發電等。,11/17/16 02:32 PM
0,s10055,3,不支持者1.核電廠退休員工一名台電核能電廠退休員工，疑似因為長期處在輻射環境中得到癌症，拿出醫生診斷和勞委會鑑定報告，以職業病傷害向資方求償。68年有一次短時間高劑量輻射，游離輻射傷害，造成30幾年來，血液一直病變，台大到成大證明，自己的血液病變加上一個喉癌，它們之間有強烈的關聯，開出來有三張職業病證明，加上勞委會鑑定書，既然台電都不承認。[在高輻射區工作十年間，我多次暴露於高輻射環境下，而且缺乏足夠防護措施。,11/17/16 02:32 PM
0,s10055,4,資深台電核電廠員工李桂林的告白,11/17/16 02:30 PM
0,s10055,3,不支持者1.核電廠退休員工一名台電核能電廠退休員工，疑似因為長期處在輻射環境中得到癌症，拿出醫生診斷和勞委會鑑定報告，以職業病傷害向資方求償。68年有一次短時間高劑量輻射，游離輻射傷害，造成30幾年來，血液一直病變，台大到成大證明，自己的血液病變加上一個喉癌，它們之間有強烈的關聯，開出來有三張職業病證明，加上勞委會鑑定書，既然台電都不承認。[,11/17/16 02:30 PM
0,s10055,3,不支持者1.核電廠退休員工一名台電核能電廠退休員工，疑似因為長期處在輻射環境中得到癌症，拿出醫生診斷和勞委會鑑定報告，以職業病傷害向資方求償。68年有一次短時間高劑量輻射，游離輻射傷害，造成30幾年來，血液一直病變，台大到成大證明，自己的血液病變加上一個喉癌，它們之間有強烈的關聯，開出來有三張職業病證明，加上勞委會鑑定書，既然台電都不承認。[,11/17/16 02:30 PM
0,s10055,4,何德？核能！專題系列五：兩座核電廠[殘害金山鄉民健康,11/17/16 02:30 PM
0,s10055,4,何德？核能！專題系列五：兩座核電廠[殘害金山鄉民健康,11/17/16 02:30 PM
0,s10055,3,不支持一名台電核能電廠退休員工，疑似因為長期處在輻射環境中得到癌症，拿出醫生診斷和勞委會鑑定報告，以職業病傷害向資方求償。68年有一次短時間高劑量輻射，游離輻射傷害，造成30幾年來，血液一直病變，台大到成大證明，自己的血液病變加上一個喉癌，它們之間有強烈的關聯，開出來有三張職業病證明，加上勞委會鑑定書，既然台電都不承認。[,11/17/16 02:29 PM
0,s10055,3,一名台電核能電廠退休員工，疑似因為長期處在輻射環境中得到癌症，拿出醫生診斷和勞委會鑑定報告，以職業病傷害向資方求償。,11/17/16 02:29 PM
0,s10055,4,核電廠退休員工控訴害罹癌　向台電求償遭拒,11/17/16 02:28 PM
0,s10055,2,核電廠OR附近員工OR意願,11/17/16 02:27 PM
0,s10055,4,核電和化石燃料的真實成本-太陽能發電之美,11/17/16 02:24 PM
0,s10055,4,向世界證明太陽能可取代核能,11/17/16 02:23 PM
0,s10055,4,向世界證明太陽能可取代核能,11/17/16 02:23 PM
